Protein_Abund (median),Protein_Abund?median?,ear_Abund(median),embryo_Abund(median),Ear_Abund(median),Root_Abund(median),Embryo_Abund(median),Tassel_Abund?median?,Tassel_Abund?median?,Root_Abund?median?,Root_Abund(median),Embryo_Abund(median)
559000.00,138000.00,204000.00,951000.00,1770000.00,248000.00,1080000.00,270000.00,966000.00,433000.00,123000.00,2730000.00
172000.00,55700.00,942000.00,2110000.00,663000.00,128000.00,2740000.00,940000.00,358000.00,169000.00,154000.00,1740000.00
859000.00,144000.00,239000.00,66400.00,472000.00,88000.00,279000.00,805000.00,649000.00,199000.00,46200.00,215000.00
589000.00,101000.00,2950000.00,1170000.00,1240000.00,173000.00,513000.00,186000.00,250000.00,77900.00,2830000.00,5980000.00
1190000.00,395000.00,819000.00,239000.00,151000.00,307000.00,531000.00,168000.00,2580000.00,327000.00,368000.00,768000.00
611000.00,194000.00,896000.00,304000.00,374000.00,90100.00,511000.00,1160000.00,73800.00,155000.00,1280000.00,377000.00
337000.00,1640000.00,104000.00,1950000.00,242000.00,1380000.00,659000.00,1740000.00,741000.00,1770000.00,316000.00,126000.00
490000.00,191000.00,1220000.00,571000.00,742000.00,114000.00,683000.00,247000.00,822000.00,110000.00,12100000.00,25000000.00
218000.00,72700.00,81600.00,690000.00,1290000.00,435000.00,6420000.00,2700000.00,1740000.00,282000.00,552000.00,1960000.00
231000.00,464000.00,670000.00,152000.00,544000.00,244000.00,443000.00,1090000.00,181000.00,87800.00,174000.00,2440000.00
278000.00,102000.00,127000.00,543000.00,1400000.00,418000.00,1110000.00,340000.00,1120000.00,534000.00,298000.00,623000.00
1280000.00,5070000.00,826000.00,175000.00,4130000.00,1940000.00,180000.00,374000.00,630000.00,12900.00,2320000.00,8360000.00
169000.00,568000.00,278000.00,633000.00,1050000.00,293000.00,1500000.00,738000.00,213000.00,77900.00,38400.00,177000.00
1030000.00,363000.00,371000.00,1260000.00,116000.00,491000.00,675000.00,235000.00,229000.00,654000.00,504000.00,1920000.00
1180000.00,3560000.00,5800000.00,2450000.00,457000.00,1200000.00,304000.00,852000.00,589000.00,219000.00,135000.00,960000.00
253000.00,629000.00,2010000.00,918000.00,332000.00,679000.00,489000.00,133000.00,1980000.00,212000.00,98000.00,226000.00
203000.00,69000.00,261000.00,675000.00,1390000.00,325000.00,545000.00,2050000.00,1120000.00,3320000.00,146000.00,456000.00
1430000.00,708000.00,260000.00,56000.00,408000.00,154000.00,988000.00,399000.00,1960000.00,270000.00,107000.00,362000.00
311000.00,709000.00,662000.00,290000.00,604000.00,145000.00,522000.00,1410000.00,52900.00,2760000.00,31600.00,594000.00
594000.00,284000.00,165000.00,57700.00,19400.00,111000.00,679000.00,201000.00,379000.00,101000.00,495000.00,6300000.00
52900.00,149000.00,143000.00,59000.00,923000.00,433000.00,162000.00,564000.00,284000.00,1270000.00,293000.00,620000.00
557000.00,217000.00,934000.00,157000.00,347000.00,77900.00,105000.00,292000.00,769000.00,1600000.00,2090000.00,5960000.00
81800.00,27400.00,176000.00,451000.00,27700.00,89700.00,101000.00,331000.00,1600000.00,681000.00,1370000.00,3220000.00
1920000.00,4840000.00,350000.00,167000.00,336000.00,143000.00,1240000.00,235000.00,1480000.00,590000.00,5640000.00,2320000.00
917000.00,141000.00,438000.00,176000.00,109000.00,481000.00,63500.00,360000.00,1810000.00,134000.00,268000.00,715000.00
651000.00,251000.00,419000.00,191000.00,857000.00,1770000.00,615000.00,252000.00,116000.00,267000.00,167000.00,588000.00
923000.00,384000.00,1390000.00,170000.00,1600000.00,110000.00,31800.00,110000.00,44300.00,203000.00,146000.00,56500.00
166000.00,417000.00,173000.00,77300.00,581000.00,2940000.00,505000.00,1420000.00,615000.00,107000.00,105000.00,958000.00
107000.00,1820000.00,663000.00,279000.00,840000.00,339000.00,360000.00,97200.00,57900.00,223000.00,2000000.00,79500.00
335000.00,70500.00,759000.00,361000.00,1090000.00,212000.00,266000.00,883000.00,2660000.00,9110000.00,260000.00,126000.00
706000.00,1490000.00,2030000.00,659000.00,1350000.00,534000.00,1140000.00,284000.00,52900.00,2760000.00,127000.00,47900.00
159000.00,78700.00,1240000.00,611000.00,1120000.00,2570000.00,34300.00,90500.00,800000.00,220000.00,1080000.00,3570000.00
319000.00,4800000.00,2390000.00,6420000.00,371000.00,77900.00,133000.00,31000.00,1890000.00,412000.00,262000.00,837000.00
166000.00,1880000.00,1180000.00,228000.00,183000.00,56200.00,1030000.00,2720000.00,597000.00,75000.00,689000.00,1600000.00
649000.00,175000.00,121000.00,3640000.00,49600.00,2760000.00,252000.00,649000.00,1220000.00,2830000.00,154000.00,722000.00
252000.00,83100.00,119000.00,51200.00,134000.00,57100.00,918000.00,2060000.00,1510000.00,498000.00,98900.00,539000.00
98200.00,1090000.00,261000.00,675000.00,1500000.00,681000.00,149000.00,2580000.00,1330000.00,123000.00,80000.00,534000.00
201000.00,660000.00,31400.00,238000.00,1250000.00,590000.00,1210000.00,483000.00,2840000.00,154000.00,1740000.00,750000.00
89300.00,413000.00,753000.00,231000.00,2820000.00,794000.00,596000.00,90000.00,1380000.00,12000000.00,1660000.00,734000.00
166000.00,454000.00,1910000.00,545000.00,527000.00,150000.00,264000.00,721000.00,161000.00,46200.00,70000.00,969000.00
175000.00,30200.00,189000.00,514000.00,2680000.00,7920000.00,1320000.00,3330000.00,1130000.00,243000.00,203000.00,32500.00
200000.00,888000.00,389000.00,191000.00,17400.00,83000.00,3900000.00,708000.00,6360000.00,2830000.00,738000.00,2400000.00
356000.00,165000.00,1400000.00,522000.00,2110000.00,134000.00,389000.00,1320000.00,217000.00,45100.00,216000.00,502000.00
300000.00,73900.00,224000.00,1210000.00,349000.00,164000.00,111000.00,317000.00,266000.00,112000.00,1050000.00,2710000.00
205000.00,481000.00,40000000.00,10800000.00,174000.00,75700.00,84800.00,368000.00,940000.00,187000.00,51800.00,286000.00
424000.00,92600.00,109000.00,1130000.00,1210000.00,2470000.00,197000.00,589000.00,710000.00,218000.00,1720000.00,477000.00
2520000.00,1240000.00,333000.00,101000.00,584000.00,216000.00,4880000.00,1980000.00,2880000.00,937000.00,348000.00,94400.00
93700.00,340000.00,831000.00,414000.00,471000.00,220000.00,556000.00,159000.00,615000.00,4010000.00,300000.00,1480000.00
93600.00,438000.00,303000.00,63500.00,272000.00,708000.00,1330000.00,4950000.00,730000.00,128000.00,513000.00,1750000.00
567000.00,1780000.00,214000.00,615000.00,412000.00,42500.00,234000.00,1080000.00,1840000.00,615000.00,534000.00,120000.00
5800000.00,2680000.00,831000.00,155000.00,101000.00,203000.00,6560000.00,1630000.00,334000.00,672000.00,22900.00,226000.00
680000.00,2060000.00,1390000.00,505000.00,624000.00,182000.00,744000.00,306000.00,1020000.00,504000.00,125000.00,301000.00
598000.00,266000.00,720000.00,266000.00,360000.00,178000.00,477000.00,1460000.00,615000.00,107000.00,555000.00,1280000.00
831000.00,116000.00,807000.00,161000.00,604000.00,251000.00,1080000.00,2320000.00,1220000.00,2810000.00,557000.00,2700000.00
1260000.00,4140000.00,218000.00,1140000.00,49600.00,2760000.00,47600.00,131000.00,292000.00,109000.00,8940000.00,636000.00
1140000.00,552000.00,79500.00,34300.00,192000.00,84100.00,74100.00,212000.00,1610000.00,495000.00,620000.00,212000.00
248000.00,113000.00,130000.00,272000.00,1130000.00,235000.00,334000.00,1320000.00,317000.00,105000.00,289000.00,97200.00
840000.00,347000.00,19400.00,133000.00,983000.00,220000.00,98300.00,251000.00,582000.00,190000.00,585000.00,1260000.00
198000.00,455000.00,2840000.00,1030000.00,1860000.00,412000.00,25800.00,68600.00,4010000.00,1370000.00,296000.00,595000.00
672000.00,239000.00,2010000.00,918000.00,519000.00,256000.00,1510000.00,3890000.00,934000.00,147000.00,92100.00,42900.00
921000.00,11200000.00,27700.00,195000.00,1020000.00,2830000.00,120000.00,390000.00,503000.00,132000.00,580000.00,88200.00
302000.00,145000.00,542000.00,2180000.00,499000.00,3040000.00,1890000.00,703000.00,1530000.00,105000.00,362000.00,1010000.00
3980000.00,16000000.00,219000.00,103000.00,995000.00,3470000.00,173000.00,409000.00,253000.00,2210000.00,113000.00,266000.00
483000.00,38200.00,997000.00,471000.00,2120000.00,123000.00,40000.00,455000.00,95900.00,35600.00,187000.00,860000.00
2930000.00,7690000.00,210000.00,80300.00,3370000.00,154000.00,356000.00,1030000.00,551000.00,1490000.00,850000.00,3090000.00
624000.00,185000.00,1700000.00,692000.00,152000.00,46200.00,634000.00,1890000.00,1910000.00,513000.00,763000.00,373000.00
525000.00,228000.00,3890000.00,149000.00,869000.00,243000.00,1150000.00,526000.00,3090000.00,1080000.00,272000.00,1470000.00
153000.00,329000.00,270000.00,752000.00,6140000.00,2830000.00,118000.00,261000.00,327000.00,669000.00,830000.00,1900000.00
260000.00,1860000.00,1150000.00,320000.00,655000.00,38300.00,6820000.00,3390000.00,1960000.00,875000.00,1150000.00,3450000.00
1860000.00,363000.00,1890000.00,896000.00,322000.00,45100.00,131000.00,358000.00,798000.00,262000.00,74900.00,301000.00
69200.00,388000.00,191000.00,76100.00,261000.00,112000.00,2730000.00,1330000.00,630000.00,12900.00,2000000.00,88700.00
1140000.00,566000.00,277000.00,131000.00,621000.00,2490000.00,6450000.00,1380000.00,1940000.00,376000.00,993000.00,487000.00
446000.00,183000.00,99500.00,596000.00,1010000.00,187000.00,41100.00,97000.00,191000.00,61600.00,101000.00,737000.00
43600.00,260000.00,299000.00,99300.00,134000.00,1210000.00,575000.00,2320000.00,113000.00,2430000.00,1190000.00,5440000.00
281000.00,129000.00,657000.00,264000.00,2510000.00,970000.00,1460000.00,584000.00,940000.00,187000.00,438000.00,145000.00
931000.00,436000.00,74100.00,155000.00,403000.00,1260000.00,379000.00,103000.00,515000.00,98900.00,219000.00,487000.00
205000.00,481000.00,2830000.00,1320000.00,219000.00,970000.00,119000.00,560000.00,2940000.00,1190000.00,356000.00,1370000.00
121000.00,277000.00,1020000.00,461000.00,192000.00,84100.00,377000.00,1860000.00,602000.00,138000.00,128000.00,951000.00
197000.00,438000.00,342000.00,111000.00,2920000.00,615000.00,2760000.00,1280000.00,516000.00,80000.00,5020000.00,2230000.00
668000.00,2550000.00,421000.00,197000.00,133000.00,38400.00,169000.00,450000.00,1830000.00,359000.00,828000.00,72700.00
,,3.42E+05,6.76E+04,2.81E+05,9.12E+04,1.61E+05,2.47E+06,1.93E+05,1.11E+06,5.06E+06,2.05E+06
,,4.71E+06,1.33E+06,2.23E+06,5.96E+06,7.98E+05,3.72E+05,1.85E+06,6.60E+05,1.35E+05,5.31E+05
,,6.17E+04,3.71E+05,3.14E+05,9.80E+04,5.08E+05,1.99E+05,4.93E+06,3.45E+05,3.08E+05,8.89E+05
,,6.94E+05,1.93E+05,3.43E+05,1.46E+05,1.33E+06,4.97E+05,5.61E+06,1.89E+06,1.88E+06,1.76E+05
,,4.19E+05,1.91E+05,6.51E+05,1.64E+05,2.44E+06,4.15E+05,1.87E+06,7.38E+05,2.02E+05,6.79E+05
,,1.30E+05,2.72E+05,4.31E+05,1.07E+05,5.70E+04,2.60E+05,8.84E+05,2.09E+05,1.82E+05,4.76E+05
,,3.93E+06,8.06E+06,1.10E+05,2.85E+05,6.23E+05,3.01E+05,1.08E+06,3.50E+05,1.81E+05,6.35E+04
,,1.98E+06,4.77E+05,2.35E+06,4.95E+05,7.33E+04,3.12E+05,1.14E+06,1.60E+05,1.03E+05,3.18E+04
,,2.82E+06,1.08E+06,3.34E+05,1.52E+05,1.77E+05,2.39E+04,5.70E+05,5.18E+04,2.48E+05,1.11E+06
,,2.70E+05,7.52E+05,5.18E+05,1.90E+05,1.04E+05,6.12E+05,3.90E+05,8.42E+05,1.32E+05,3.60E+05
,,1.12E+05,4.76E+04,4.10E+06,1.37E+06,5.03E+05,1.05E+06,1.91E+06,5.13E+05,1.52E+05,3.87E+05
,,2.88E+05,7.41E+04,2.40E+05,1.15E+05,3.79E+05,1.03E+05,2.57E+05,8.31E+04,1.55E+05,5.42E+04
,,3.72E+05,1.27E+06,4.20E+04,1.46E+05,9.11E+04,2.81E+05,5.25E+05,1.25E+05,6.81E+05,1.08E+05
,,5.27E+05,9.83E+04,2.15E+06,1.05E+06,7.72E+04,1.82E+05,7.81E+04,1.93E+05,2.85E+06,1.11E+06
,,7.17E+05,3.24E+05,3.14E+05,2.44E+06,1.05E+05,2.92E+05,8.04E+05,8.94E+06,6.13E+04,6.54E+05
,,5.84E+05,2.59E+05,2.69E+06,1.12E+06,6.30E+06,1.61E+06,3.36E+05,1.37E+05,1.10E+06,3.24E+05
,,6.24E+05,5.81E+04,8.12E+05,1.32E+05,1.21E+06,1.26E+05,1.65E+06,4.54E+05,2.61E+05,7.55E+05
,,3.21E+06,1.51E+06,1.03E+06,3.38E+06,1.24E+06,3.94E+06,1.92E+05,5.26E+05,2.47E+06,1.18E+06
,,7.36E+04,4.61E+05,2.78E+05,3.82E+04,4.75E+05,2.04E+06,1.35E+06,5.23E+05,4.57E+06,1.51E+05
,,5.29E+04,1.54E+05,7.74E+04,2.00E+06,2.46E+05,1.04E+05,2.69E+04,2.02E+05,1.79E+05,8.50E+05
,,3.48E+05,7.42E+05,8.99E+04,3.56E+04,9.00E+04,3.36E+05,5.27E+05,2.16E+05,2.00E+05,4.38E+05
,,6.97E+05,3.38E+05,6.53E+05,1.49E+06,3.09E+05,9.34E+05,1.01E+05,1.77E+06,1.77E+05,5.67E+05
,,8.18E+04,3.85E+04,2.98E+06,5.13E+05,1.58E+06,5.51E+05,3.71E+06,8.69E+05,1.72E+06,2.95E+05
,,5.21E+05,1.73E+05,2.56E+05,1.27E+05,7.15E+05,2.76E+05,2.35E+05,8.89E+05,3.47E+06,5.05E+05
,,1.92E+05,7.57E+04,2.92E+06,1.08E+06,1.90E+05,5.35E+05,7.02E+05,1.90E+05,1.57E+06,3.24E+05
,,1.13E+06,3.56E+05,2.35E+06,8.75E+05,1.99E+06,3.13E+05,7.27E+04,2.47E+05,1.83E+05,9.95E+05
,,9.83E+05,2.59E+05,8.44E+05,2.62E+05,1.27E+05,3.49E+05,7.18E+05,2.91E+05,3.65E+05,6.32E+04
,,3.30E+06,1.19E+06,9.79E+05,1.29E+04,1.14E+06,3.84E+05,7.52E+04,2.85E+05,1.49E+06,1.76E+05
,,3.16E+05,7.80E+04,3.25E+06,3.76E+05,1.32E+05,5.66E+05,2.58E+06,3.27E+05,1.33E+06,2.90E+05
,,1.17E+06,8.10E+04,2.13E+05,6.16E+04,1.30E+06,2.53E+05,5.89E+06,1.28E+06,1.75E+06,8.39E+05
,,4.61E+05,2.45E+06,4.96E+05,9.89E+04,8.24E+04,3.38E+05,2.19E+05,7.49E+04,1.87E+05,8.60E+05
,,3.32E+06,6.82E+06,2.52E+06,1.19E+06,4.16E+05,1.29E+05,1.78E+05,2.00E+06,3.63E+05,1.07E+06
,,9.62E+04,3.78E+04,1.74E+05,7.57E+04,1.76E+05,5.51E+05,5.57E+05,1.52E+05,1.07E+05,2.16E+05
,,3.89E+05,1.31E+05,5.25E+05,1.38E+05,1.26E+05,2.70E+05,2.90E+05,1.18E+06,2.96E+05,1.30E+05
,,2.68E+05,6.32E+05,1.83E+05,4.36E+05,3.69E+05,1.27E+05,5.28E+05,1.01E+05,1.89E+05,1.81E+06
,,3.00E+05,1.12E+05,1.80E+06,3.59E+05,2.55E+06,6.57E+06,2.68E+05,1.17E+06,9.66E+05,2.96E+06
,,2.24E+06,5.75E+05,2.31E+06,6.60E+05,1.87E+06,1.04E+05,1.72E+06,5.02E+06,5.44E+07,9.90E+05
,,1.31E+06,1.78E+05,3.48E+06,1.16E+06,3.56E+05,7.33E+05,2.35E+05,7.10E+05,1.50E+06,4.72E+05
,,1.66E+05,7.18E+05,1.92E+05,7.00E+04,1.31E+06,2.92E+06,2.06E+06,4.37E+06,4.80E+05,3.80E+06
,,6.55E+05,1.46E+06,5.62E+04,2.03E+05,1.08E+06,3.27E+05,2.20E+05,5.26E+05,4.31E+05,4.25E+06
,,5.15E+05,8.45E+04,4.59E+06,1.89E+06,1.84E+05,1.29E+06,3.92E+05,8.42E+05,8.31E+04,2.27E+05
,,3.22E+05,1.14E+05,8.89E+05,1.28E+05,1.37E+06,3.31E+05,5.16E+05,1.91E+06,6.66E+06,2.92E+05
,,5.87E+05,1.73E+05,1.90E+06,8.23E+05,5.25E+05,2.32E+05,1.65E+06,4.35E+05,3.02E+05,1.01E+05
,,4.85E+05,1.19E+05,1.12E+06,3.50E+05,6.57E+05,1.94E+06,7.18E+05,2.91E+05,8.01E+04,8.06E+06
,,8.72E+05,2.51E+05,1.02E+06,1.60E+05,1.83E+05,1.32E+06,4.18E+05,2.05E+05,3.00E+05,1.16E+06
,,2.17E+05,1.06E+05,4.70E+05,5.18E+04,1.15E+06,4.04E+05,7.97E+05,2.48E+05,9.78E+05,2.26E+07
,,6.53E+05,2.29E+05,2.37E+04,5.87E+04,1.79E+05,6.02E+05,1.06E+06,2.68E+06,8.77E+05,5.84E+06
,,5.94E+04,1.60E+06,2.38E+06,3.18E+05,1.51E+06,2.12E+05,1.02E+05,3.38E+05,1.72E+06,3.84E+06
,,2.41E+06,1.61E+05,6.10E+05,1.93E+05,5.25E+05,2.32E+05,2.14E+05,5.62E+04,9.72E+04,5.89E+05
,,2.17E+05,5.08E+05,2.43E+05,5.98E+05,2.67E+05,2.11E+06,1.23E+06,6.13E+04,1.89E+05,4.83E+05
,,1.92E+05,7.57E+04,2.98E+06,5.13E+05,8.57E+04,2.90E+05,7.03E+05,1.66E+06,5.58E+04,2.23E+05
,,2.92E+06,1.23E+06,2.36E+05,7.32E+05,2.22E+06,9.24E+05,2.91E+05,7.08E+05,1.93E+05,4.13E+05
,,1.25E+06,5.94E+05,7.41E+05,2.02E+05,1.02E+05,3.77E+05,1.32E+05,4.57E+06,3.92E+06,1.24E+06
,,3.90E+05,1.04E+05,1.66E+05,5.37E+04,2.16E+05,7.09E+04,4.42E+04,1.18E+05,2.32E+06,4.77E+06
,,9.13E+05,1.92E+06,7.78E+04,2.55E+05,7.34E+05,1.70E+06,8.95E+05,3.47E+06,8.58E+06,1.44E+06
,,9.06E+04,3.79E+05,1.51E+06,1.78E+05,3.25E+04,1.30E+05,6.18E+05,1.26E+06,1.22E+06,1.34E+07
,,2.75E+05,9.11E+04,9.64E+05,3.00E+05,5.52E+05,1.72E+06,7.18E+05,2.91E+05,1.10E+06,8.63E+04
,,4.73E+05,1.18E+06,1.49E+06,8.94E+06,3.74E+05,8.84E+05,9.36E+05,2.74E+06,1.76E+06,2.62E+05
,,2.22E+05,7.48E+04,3.19E+05,1.37E+05,6.59E+05,1.74E+06,3.45E+05,1.35E+05,1.83E+05,6.58E+04
,,1.91E+05,7.61E+04,1.28E+05,1.04E+06,1.19E+05,5.60E+05,1.19E+05,2.85E+05,2.95E+05,2.24E+06
,,1.10E+05,2.46E+05,3.16E+06,3.04E+05,6.86E+05,1.62E+06,4.05E+04,1.46E+05,5.62E+06,1.18E+07
,,2.29E+05,9.00E+04,1.19E+06,5.23E+05,3.56E+05,8.83E+05,3.13E+05,2.44E+06,4.50E+06,1.98E+06
,,7.37E+04,2.13E+05,1.52E+05,7.35E+05,6.40E+04,1.48E+05,5.32E+04,2.24E+05,1.97E+05,9.43E+05
,,2.94E+05,1.58E+06,3.20E+04,2.02E+05,9.29E+06,2.55E+06,9.87E+05,3.65E+05,1.03E+06,1.17E+07
,,6.60E+05,3.07E+05,8.59E+05,4.93E+04,4.77E+05,1.26E+06,4.93E+04,1.07E+05,1.06E+05,1.09E+06
,,3.14E+05,1.99E+06,9.42E+05,2.96E+05,1.20E+05,2.56E+05,8.02E+04,2.09E+05,4.30E+05,9.17E+05
,,1.03E+06,5.54E+06,5.75E+05,2.16E+05,4.83E+05,1.25E+06,1.48E+06,3.63E+05,5.60E+06,1.29E+06
,,4.92E+05,1.32E+05,2.82E+05,7.96E+05,3.17E+05,1.00E+06,4.72E+05,1.46E+05,3.39E+05,1.16E+06
,,2.41E+05,8.24E+04,1.80E+05,1.03E+06,1.73E+05,9.19E+05,4.04E+05,1.89E+05,7.36E+06,2.46E+06
,,6.53E+05,1.76E+05,1.67E+04,4.61E+04,2.09E+05,1.45E+06,1.42E+05,1.22E+06,8.72E+05,2.14E+06
,,5.35E+05,2.28E+05,3.53E+06,8.69E+05,9.72E+04,2.25E+05,1.96E+05,8.40E+05,3.28E+05,1.11E+06
,,2.58E+05,1.26E+05,1.52E+06,7.02E+04,1.26E+06,5.85E+05,5.18E+06,9.66E+05,1.67E+06,5.23E+05
,,1.87E+05,5.48E+04,4.34E+05,8.89E+05,3.13E+05,6.56E+05,1.16E+06,5.44E+07,2.86E+05,1.41E+05
,,1.46E+05,6.65E+04,2.29E+06,9.14E+05,4.29E+04,1.12E+05,1.66E+06,8.01E+04,6.61E+04,2.38E+05
,,1.37E+05,3.69E+05,1.50E+06,6.45E+05,8.88E+05,1.79E+06,6.83E+04,3.00E+05,2.58E+07,8.06E+07
,,1.58E+05,5.36E+05,2.90E+05,3.82E+06,2.33E+05,4.70E+05,1.83E+06,3.00E+05,3.37E+05,6.75E+04
,,5.62E+04,2.39E+04,7.22E+05,1.90E+05,8.82E+04,3.90E+05,4.84E+06,1.72E+06,2.84E+05,1.02E+06
,,2.18E+04,1.24E+05,9.55E+05,2.72E+05,2.08E+05,6.87E+05,7.53E+05,4.83E+06,9.40E+05,1.79E+05
,,8.22E+06,2.55E+06,2.43E+05,5.98E+05,1.41E+05,1.01E+06,1.20E+05,3.74E+05,3.62E+05,1.24E+06
,,1.49E+05,9.90E+05,3.61E+05,9.71E+04,6.15E+04,1.37E+05,9.04E+04,1.92E+06,4.57E+05,1.25E+06
,,2.56E+05,4.79E+04,5.64E+05,2.35E+05,1.49E+05,2.58E+06,3.22E+05,5.58E+04,4.07E+06,1.18E+05
,,3.28E+06,1.31E+06,2.05E+05,8.74E+05,1.38E+06,5.07E+06,5.20E+05,1.21E+06,1.43E+06,1.76E+05
,,5.25E+05,1.37E+06,1.98E+05,7.85E+05,1.50E+05,3.20E+05,1.98E+06,2.05E+05,2.55E+05,1.26E+07
,,6.58E+05,2.40E+06,8.64E+05,3.01E+05,3.89E+05,1.32E+06,1.01E+06,8.58E+06,7.69E+05,2.38E+05
,,1.83E+05,5.25E+05,1.97E+06,1.06E+05,2.85E+05,5.79E+05,1.38E+06,5.07E+05,2.66E+06,8.57E+06
,,3.25E+06,6.57E+05,3.36E+05,1.18E+06,3.79E+05,1.40E+06,3.37E+05,7.13E+04,1.75E+06,2.31E+05
,,4.28E+05,1.83E+05,9.50E+05,2.16E+05,1.43E+05,1.78E+06,4.21E+05,2.49E+06,1.40E+06,4.16E+05
,,6.58E+05,2.40E+06,1.40E+06,4.03E+06,5.36E+04,2.54E+05,4.04E+06,2.95E+05,1.17E+05,8.22E+05
,,4.23E+05,1.37E+05,1.54E+05,4.38E+05,1.20E+05,3.45E+05,6.66E+05,1.85E+06,7.91E+05,3.61E+06
,,3.90E+05,1.94E+05,1.94E+05,7.04E+05,5.60E+04,4.22E+05,1.29E+07,5.62E+06,1.12E+05,8.77E+05
,,2.06E+05,4.39E+05,5.64E+05,2.35E+05,1.76E+05,5.04E+05,8.58E+05,1.97E+05,2.24E+05,9.66E+04
